key,value,date
Rats,2450783,01/01/75
Rats,2950553,01/01/80
Rats,1490130,01/01/85
Rats,3360199,01/01/90
Rats,5203323,01/01/95
Rats,5890103,01/01/00
Rats,6990259,01/01/05
Rats,8150273,01/01/10
Rats,10400103,01/01/14
Humans,7895563,01/01/75
Humans,7071639,01/01/80
Humans,7271620,01/01/85
Humans,7322564,01/01/90
Humans,7762004,01/01/95
Humans,8008278,01/01/00
Humans,8080013,01/01/05
Humans,8175133,01/01/10
Humans,8400133,01/01/14
Prisoners,89678,01/01/75
Prisoners,90435,01/01/80
Prisoners,88998,01/01/85
Prisoners,71530,01/01/90
Prisoners,76459,01/01/95
Prisoners,100870,01/01/00
Prisoners,93332,01/01/05
Prisoners,87456,01/01/10
Prisoners,81201,01/01/14
Drug Dealers,6340,01/01/75
Drug Dealers,5989,01/01/80
Drug Dealers,6789,01/01/85
Drug Dealers,7990,01/01/90
Drug Dealers,7213,01/01/95
Drug Dealers,8345,01/01/00
Drug Dealers,7698,01/01/05
Drug Dealers,8134,01/01/10
Drug Dealers,8756,01/01/14
Ebola patients,0,01/01/75
Ebola patients,0,01/01/80
Ebola patients,0,01/01/85
Ebola patients,0,01/01/90
Ebola patients,0,01/01/95
Ebola patients,0,01/01/00
Ebola patients,0,01/01/05
Ebola patients,0,01/01/10
Ebola patients,1,01/01/14
